MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,delta_COG,delta_SOG,delta_Heading,rolling_mean_COG,rolling_std_COG,rolling_mean_SOG,rolling_std_SOG,size_ratio,COG_threshold,SOG_threshold,Heading_threshold,anomaly
219005000,2019-05-06 07:00:00,29.36827,-94.89148,0.0,251.4,69,NAVIGARE PACTOR,IMO9583653,OXVG2,80.0,0.0,183.0,32.0,13.2,,A,-33.70000000000002,-6.7,-216.0,278.14,14.96104942843254,6.08,3.440494150554536,5.71875,396.5946928804596,5.260477820420008,123.37333900935268,True
219005000,2019-05-06 19:28:21,29.34487,-94.72616,11.3,266.5,267,NAVIGARE PACTOR,IMO9583653,OXVG2,80.0,0.0,183.0,32.0,13.2,,A,45.30000000000001,11.3,197.0,213.28000000000003,41.27059485881005,2.2600000000000002,5.053513629149521,5.71875,396.5946928804596,5.260477820420008,123.37333900935268,True
219005000,2019-05-06 19:30:16,29.36828,-94.89147,0.0,228.3,70,NAVIGARE PACTOR,IMO9583653,OXVG2,80.0,5.0,183.0,32.0,13.2,,A,-38.19999999999999,-11.3,-197.0,223.84,35.54487304802235,2.2600000000000002,5.053513629149521,5.71875,396.5946928804596,5.260477820420008,123.37333900935268,True
219005000,2019-05-06 19:52:20,29.35986,-94.80953,11.5,295.9,298,NAVIGARE PACTOR,IMO9583653,OXVG2,80.0,0.0,183.0,32.0,13.2,,A,106.29999999999998,11.5,228.0,222.35999999999999,44.20031674094687,2.3,5.142956348249513,5.71875,396.5946928804596,5.260477820420008,123.37333900935268,True
219005000,2019-05-06 19:54:16,29.36828,-94.89148,0.0,183.3,70,NAVIGARE PACTOR,IMO9583653,OXVG2,80.0,5.0,183.0,32.0,13.2,,A,-112.59999999999997,-11.5,-228.0,217.8,47.36032094485882,2.3,5.142956348249513,5.71875,396.5946928804596,5.260477820420008,123.37333900935268,True
219005000,2019-05-06 20:15:40,29.37814,-94.8688,6.0,284.0,285,NAVIGARE PACTOR,IMO9583653,OXVG2,80.0,0.0,183.0,32.0,13.2,,A,208.4,6.0,215.0,180.32,74.076089259626,1.2,2.6832815729997384,5.71875,396.5946928804596,5.260477820420008,123.37333900935268,True
219005000,2019-05-06 20:18:15,29.36827,-94.89148,0.0,37.8,70,NAVIGARE PACTOR,IMO9583653,OXVG2,80.0,5.0,183.0,32.0,13.2,,A,-246.2,-6.0,-215.0,151.28,97.51567566294206,1.2,2.6832815729997384,5.71875,396.5946928804596,5.260477820420008,123.37333900935268,True
219028000,2019-05-07 18:12:09,29.3532,-94.7874,13.5,317.9,317,HAPPY CONDOR,IMO9368780,OXJN2,83.0,0.0,120.0,19.0,5.7,83.0,A,41.5,13.5,312.0,267.06000000000006,59.50279825352714,2.7199999999999998,6.026358767946014,6.315789473684211,391.1305180442338,10.825392614285086,214.56228283659001,True
219028000,2019-05-07 18:13:45,29.73662,-95.13057,0.0,352.8,5,HAPPY CONDOR,IMO9368780,OXJN2,83.0,5.0,120.0,19.0,5.7,83.0,A,34.900000000000034,-13.5,-312.0,281.56,71.21645175098197,2.7199999999999998,6.026358767946014,6.315789473684211,391.1305180442338,10.825392614285086,214.56228283659001,True
219028000,2019-05-07 18:13:59,29.35557,-94.78978,13.6,318.8,318,HAPPY CONDOR,IMO9368780,OXJN2,83.0,0.0,120.0,19.0,5.7,83.0,A,-34.0,13.6,313.0,286.12,73.07781469091655,5.4399999999999995,7.40358021500408,6.315789473684211,391.1305180442338,10.825392614285086,214.56228283659001,True
219028000,2019-05-07 18:16:45,29.73662,-95.13057,0.0,28.3,5,HAPPY CONDOR,IMO9368780,OXJN2,83.0,5.0,120.0,19.0,5.7,83.0,A,-290.5,-13.6,-313.0,258.84000000000003,131.68979839000423,5.42,7.421724866902562,6.315789473684211,391.1305180442338,10.825392614285086,214.56228283659001,True
219028000,2019-05-07 19:11:39,29.5532,-94.91133,14.5,327.1,328,HAPPY CONDOR,IMO9368780,OXJN2,83.0,0.0,120.0,19.0,5.7,83.0,A,269.40000000000003,14.5,323.0,236.18,136.10527910408172,2.92,6.473561616297461,6.315789473684211,391.1305180442338,10.825392614285086,214.56228283659001,True
219028000,2019-05-07 19:13:45,29.7366,-95.13057,0.0,53.8,5,HAPPY CONDOR,IMO9368780,OXJN2,83.0,5.0,120.0,19.0,5.7,83.0,A,-273.3,-14.5,-323.0,177.90000000000003,140.0829218712975,2.92,6.473561616297461,6.315789473684211,391.1305180442338,10.825392614285086,214.56228283659001,True
219028000,2019-05-07 23:41:22,29.59958,-94.94693,14.6,326.1,328,HAPPY CONDOR,IMO9368780,OXJN2,83.0,0.0,120.0,19.0,5.7,83.0,A,26.80000000000001,14.6,323.0,253.26000000000005,110.21636902021385,2.94,6.518281982240397,6.315789473684211,391.1305180442338,10.825392614285086,214.56228283659001,True
219028000,2019-05-07 23:43:46,29.73662,-95.13057,0.0,240.6,5,HAPPY CONDOR,IMO9368780,OXJN2,83.0,5.0,120.0,19.0,5.7,83.0,A,-85.50000000000003,-14.6,-323.0,289.4,34.757301391217375,2.94,6.518281982240397,6.315789473684211,391.1305180442338,10.825392614285086,214.56228283659001,True
